date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:13	28998/28998	---M--	200	added ('OK')	image/png	etag:%227302323-7146-5a15b53521990%22	https://yanderesimulator.com/img/characters/nurse.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/nurse.png	(from https://yanderesimulator.com/characters/)
00:04:14	37127/37127	---M--	200	added ('OK')	image/png	etag:%227302373-9107-5a15b538ea5a4%22	https://yanderesimulator.com/img/characters/police.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/police.png	(from https://yanderesimulator.com/characters/)
00:04:14	27877/27877	---M--	200	added ('OK')	image/png	etag:%22730236f-6ce5-5a15b538c86ab%22	https://yanderesimulator.com/img/characters/info.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/info.png	(from https://yanderesimulator.com/characters/)
00:04:15	43863/43863	---M--	200	added ('OK')	image/png	etag:%2273023b2-ab57-5a15b53b0ef07%22	https://yanderesimulator.com/img/characters/journo.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/journo.png	(from https://yanderesimulator.com/characters/)
00:04:15	42391/42391	---M--	200	added ('OK')	image/png	etag:%2273023a5-a597-5a15b53a692ac%22	https://yanderesimulator.com/img/characters/mother.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/mother.png	(from https://yanderesimulator.com/characters/)
00:04:16	33083/33083	---M--	200	added ('OK')	image/png	etag:%2273023bd-813b-5a15b53b79df9%22	https://yanderesimulator.com/img/characters/yandere-kun-normal.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/yandere-kun-normal.png	(from https://yanderesimulator.com/characters/)
00:04:17	73558/73558	---M--	200	added ('OK')	image/png	etag:%227302395-11f56-5a15b539debd1%22	https://yanderesimulator.com/img/characters/founder.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/founder.png	(from https://yanderesimulator.com/characters/)
00:04:18	25361/25361	---M--	200	added ('OK')	image/png	etag:%227302343-6311-5a15b536aae90%22	https://yanderesimulator.com/img/characters/ceo.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/ceo.png	(from https://yanderesimulator.com/characters/)
00:04:18	50761/50761	---M--	200	added ('OK')	image/png	etag:%227302396-c649-5a15b539df3a1%22	https://yanderesimulator.com/img/characters/aunt.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/aunt.png	(from https://yanderesimulator.com/characters/)
00:04:19	38488/38488	---M--	200	added ('OK')	image/png	etag:%2272e47a1-9658-5a16fb3c59751%22	https://yanderesimulator.com/img/characters/wife.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/wife.png	(from https://yanderesimulator.com/characters/)
00:04:20	25060/25060	---M--	200	added ('OK')	image/png	etag:%2272e47a3-61e4-5a16fb3d235cd%22	https://yanderesimulator.com/img/characters/brother.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/brother.png	(from https://yanderesimulator.com/characters/)
00:04:21	34343/34343	---M--	200	added ('OK')	image/png	etag:%2273023b8-8627-5a15b53b3f478%22	https://yanderesimulator.com/img/characters/art-leader.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/art-leader.png	(from https://yanderesimulator.com/characters/)
00:04:21	32027/32027	---M--	200	added ('OK')	image/png	etag:%2273023b4-7d1b-5a15b53b11617%22	https://yanderesimulator.com/img/characters/gaming-leader.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/gaming-leader.png	(from https://yanderesimulator.com/characters/)
